Year,State,Healthcare_Spending_Per_Capita,Death_Rate_Per_100000,Alzheimers_Disease,Cancer,Diabetes,Heart_Disease,Influenza_and_Pneumonia,Cancer_Deaths_Per_100000,Diabetes_Deaths_Per_100000,Heart_Disease_Deaths_Per_100000,Influenza_Pneumonia_Deaths_Per_100000,Alzheimers_Disease_Deaths_Per_100000,Percent_Adults_Smoke,Percent_Adults_Physical_Activity,Percent_Adults_Obese,Median_Household_Income,Percent_Poverty_Rate
2022,AL,9730,989.1,2655,10328,1645,14958,957,154.4,25.4,234.2,14.9,42.2,0.139,0.695,0.383,59910,0.165
2022,AR,9928,999.7,1577,6638,1397,8664,653,168.1,36,224.1,17.2,41,0.17,0.682,0.374,73450,0.168
2022,FL,10420,714.7,6397,47035,7549,49877,2887,135.8,22.3,140.9,8.3,17,0.101,0.775,0.316,65370,0.127
2022,GA,9296,871.6,4219,18302,2693,21728,1333,147,21.9,183.9,11.3,39.3,0.116,0.762,0.37,67730,0.126
2022,LA,11061,974.7,2094,9193,1655,12284,586,160.3,29.9,224,10.7,40,0.155,0.715,0.401,58320,0.185
2022,MS,9747,1073.3,1679,6665,1256,8858,761,178.4,34.7,248,21.1,48.5,0.149,0.692,0.395,71520,0.191
2022,NC,9555,877.1,4272,20409,3834,21763,1523,149,28.8,165.8,11.7,33.9,0.127,0.779,0.341,72330,0.13
2022,OK,9847,1025.6,1613,8378,1586,12268,656,171.6,33.8,257.1,14,34.7,0.146,0.705,0.4,63440,0.156
2022,SC,9104,918.8,2429,11015,1784,12038,697,153.2,25.8,177.7,10.3,37.4,0.129,0.743,0.35,61770,0.141
2022,TN,9839,1009.2,2933,14625,2722,18727,1330,162.3,31.2,218.3,15.6,36,0.171,0.721,0.389,65380,0.134
2022,TX,8787,816.9,10427,43403,7853,50672,3025,140.8,25.6,172.3,10.3,38.8,0.114,0.754,0.355,74640,0.139
2021,AL,9425,1134.2,2725,10429,1652,15173,1034,160.2,26.3,247.5,16.8,46.8,0.148,0.68,0.399,56930,0.16
2021,AR,9603,1097.8,1559,6516,1466,8547,534,168.2,39.3,231,14.7,43.2,0.178,0.691,0.387,70820,0.164
2021,FL,10111,832.9,6716,46937,8039,50100,2845,141.6,24.8,151.3,8.8,19.6,0.121,0.748,0.301,59730,0.131
2021,GA,8965,997.6,4378,18136,2943,21931,1273,151.5,25.1,195.2,11.3,44.5,0.131,0.757,0.339,61500,0.141
2021,LA,10648,1094.6,2121,9246,1943,12564,647,163.9,35.7,235.5,12.2,42.9,0.172,0.725,0.386,57210,0.196
2021,MS,9466,1204.5,1694,6617,1485,8837,697,181.8,42.1,255.2,20,52.8,0.177,0.684,0.391,63590,0.194
2021,NC,9239,960,4260,20229,3931,21302,1537,153.6,30.4,170.9,12.4,36.7,0.129,0.783,0.36,64340,0.137
2021,OK,9566,1121.1,1580,8368,1619,12158,561,175.1,35.1,264.2,12.3,36,0.152,0.723,0.394,60100,0.155
2021,SC,8863,1038.1,2419,10593,1753,12118,611,155.2,26.3,189.1,9.4,40.9,0.141,0.75,0.361,62540,0.149
2021,TN,9543,1121.3,2879,14481,2681,18468,1225,166.3,31.4,223.8,14.9,37.7,0.174,0.73,0.35,62170,0.137
2021,TX,8548,942.1,10437,42552,8136,50584,2938,143.3,27.5,180.7,10.5,41.9,0.124,0.76,0.361,67400,0.143
2020,AL,9280,1316.2,3093,10456,1450,14739,1114,161.6,23.6,237.5,17.7,50.8,0.159,0.715,0.39,54690,0.162
2020,AR,9338,1257.5,1782,6496,1306,8621,691,163.8,33.8,222.5,18.1,45.6,0.187,0.696,0.364,67090,0.167
2020,FL,9865,869.5,7274,45800,7528,49287,3191,136.3,22.8,143.1,9.5,19.8,0.134,0.744,0.284,57760,0.131
2020,GA,8758,1102.8,4782,17827,2833,21116,1575,147.6,23.9,183.7,13.8,45.9,0.145,0.746,0.343,59270,0.137
2020,LA,10515,1248.1,2450,9195,1843,12255,778,159.9,33.1,221.5,14.2,45.8,0.164,0.708,0.381,51190,0.191
2020,MS,9394,925.7,2018,6582,1460,8809,904,176,41,245.6,25.1,58,0.174,0.69,0.397,62180,0.195
2020,NC,8917,1051.6,4713,19996,3554,20373,1804,148.4,26.9,156.2,14,37.5,0.151,0.778,0.336,61160,0.136
2020,OK,9444,1228.9,1817,8368,1552,11758,657,171.1,32.8,244.1,13.9,38.2,0.178,0.712,0.364,52470,0.155
2020,SC,8766,1118,2575,10786,1943,11385,755,153.9,28.5,170.9,11.6,40.4,0.155,0.742,0.362,60340,0.145
2020,TN,9336,1104.6,3607,14436,2590,17943,1549,164.4,30.1,212,18.5,44.4,0.181,0.76,0.356,54970,0.14
2020,TX,8406,1222.7,11918,42142,7990,50281,3541,139.8,26.7,173.9,12.2,44.6,0.128,0.757,0.358,68400,0.142
2019,AL,8741,1027.4,2659,10266,1224,13448,1018,160.8,19.8,219.6,16.6,44.6,0.202,0.685,0.361,56200,0.154
2019,AR,8853,1089.8,1507,6482,1144,8669,623,165.7,29.8,226.5,16.6,39.5,0.202,0.688,0.374,70670,0.165
2019,FL,9490,698.1,6539,45583,6174,47144,2705,139.1,19.3,140.1,8.2,18.3,0.148,0.735,0.27,58370,0.127
2019,GA,8243,963.8,4221,17756,2375,19543,1299,151.4,20.5,175.5,11.8,41.9,0.163,0.721,0.331,56630,0.134
2019,LA,9657,1096.5,2165,9485,1458,11302,656,168.1,26.5,207.8,12.1,41.4,0.219,0.681,0.359,51710,0.187
2019,MS,8745,807,1662,6587,1159,7997,789,179.1,32.5,226.7,22.6,48.8,0.204,0.623,0.408,60600,0.196
2019,NC,8619,803.8,4508,19951,3124,19617,1733,152,24.1,154.7,13.8,36.9,0.185,0.737,0.34,70910,0.135
2019,OK,8923,1058.4,1775,8309,1306,10960,640,173,28,231.4,13.7,37.9,0.189,0.66,0.368,59400,0.155
2019,SC,8345,968.1,2323,10487,1610,10579,686,154,24.4,164,10.8,37.9,0.175,0.712,0.354,62030,0.138
2019,TN,8827,934.8,3252,14382,2161,16814,1332,167,25.9,202.8,16.2,41.1,0.199,0.699,0.365,56630,0.139
2019,TX,8028,1053.3,10101,41489,6889,46139,3158,141.4,23.6,163.4,11.3,38.6,0.147,0.728,0.34,67440,0.136
2018,AL,8343,884.8,2616,10632,1176,13473,1268,170.4,19.4,224.7,21.4,44.9,0.192,0.693,0.362,49940,0.168
2018,AR,8545,1072.9,1457,6491,1194,8171,670,168.8,32.3,217.4,18,38.9,0.227,0.69,0.371,62280,0.174
2018,FL,9148,712.9,6725,45281,6204,47027,3091,141.7,19.8,143.1,9.6,19.2,0.145,0.732,0.307,54640,0.134
2018,GA,7844,964.5,4513,17397,2471,18986,1530,152.4,22.1,175.8,14.5,46.5,0.161,0.738,0.325,55820,0.144
2018,LA,9217,1090,2166,9382,1457,11340,824,169,26.9,212.2,15.6,42.2,0.205,0.692,0.368,49970,0.187
2018,MS,8417,797.4,1547,6510,1074,7758,910,179.7,30.6,222.1,26.1,46,0.205,0.68,0.395,61730,0.2
2018,NC,8285,804.3,4495,19671,3013,19222,2064,154.2,23.9,155.5,16.9,37.9,0.174,0.761,0.33,61860,0.141
2018,OK,8625,1063,1739,8424,1340,10634,809,178.1,29,228.5,17.8,37.9,0.197,0.728,0.348,54430,0.154
2018,SC,7975,953.6,2616,10365,1580,10464,882,157.3,24.8,167,14.5,44.3,0.18,0.733,0.343,57440,0.151
2018,TN,8565,903.5,3488,14141,2023,16417,1646,168,24.5,202.4,20.7,45,0.207,0.691,0.344,56060,0.154
2018,TX,7711,1049.9,9763,40866,5991,46763,3516,142.9,21.1,170,12.9,38.4,0.144,0.744,0.348,59790,0.148
2017,AL,8154,877.6,2563,10410,1173,13110,1176,170,19.8,223.2,20.2,45.2,0.209,0.68,0.363,50870,0.168
2017,AR,8409,1084.7,1436,6517,1180,8270,720,173.6,32.4,223.8,19.8,39.4,0.223,0.675,0.35,59700,0.162
2017,FL,8814,970.4,6980,45131,6172,46440,3057,145.9,20.2,145.8,9.6,20.7,0.161,0.708,0.284,53090,0.14
2017,GA,7605,796.8,4290,17135,2348,18389,1400,154.9,21.5,175.8,13.8,46,0.175,0.69,0.316,57990,0.152
2017,LA,8984,977.8,2188,9513,1272,11260,785,174.9,23.9,214.4,15.1,43.7,0.231,0.682,0.362,43570,0.2
2017,MS,8392,1081.7,1626,6526,1164,7944,782,183.1,33.3,231.6,23,49.5,0.222,0.669,0.373,56530,0.197
2017,NC,8105,906.8,4289,19474,2903,18808,2076,157.1,23.6,156.5,17.5,37.3,0.172,0.744,0.321,58040,0.149
2017,OK,8382,1029.1,1752,8203,1398,10772,625,177.3,30.6,237.2,13.9,39.3,0.201,0.676,0.365,51880,0.154
2017,SC,7855,984,2549,10356,1535,10418,723,162.7,24.5,172,12.3,44.9,0.188,0.716,0.341,54540,0.154
2017,TN,8485,1043.7,3522,14302,1915,16019,1656,173.4,24,202.2,21.3,46.7,0.226,0.694,0.328,55310,0.15
2017,TX,7572,699.9,9545,40668,5832,45346,2954,146.5,21.2,169.2,11.2,38.5,0.157,0.679,0.33,60090,0.146
2016,AL,7968,1078.8,2507,10419,1183,12832,987,174,20.1,222.5,17.1,45,0.215,0.706,0.357,47220,0.173
2016,AR,8079,1062.7,1475,6612,920,8090,623,178.8,25.4,223.7,17.1,41.3,0.236,0.675,0.357,57100,0.172
2016,FL,8519,957.3,7155,44266,5782,45659,2808,146.9,19.5,146.2,9.3,21.5,0.155,0.702,0.274,51180,0.148
2016,GA,7353,789.8,4021,17184,2238,18143,1423,160.2,21.2,179,14.3,44.8,0.179,0.706,0.314,53530,0.158
2016,LA,8542,946.4,2195,9149,1324,10943,720,171.9,25.5,213.1,14.3,45,0.228,0.709,0.355,42200,0.203
2016,MS,8170,1062,1485,6568,1084,7865,785,187.7,31.9,233.1,23.4,45.8,0.227,0.697,0.373,55020,0.208
2016,NC,7886,891.6,4153,19523,2811,18266,1896,161.6,23.5,155.8,16.5,37.2,0.179,0.767,0.318,55430,0.157
2016,OK,8132,1001,1590,8115,1393,10209,546,177.8,30.8,228.2,12.4,36.1,0.196,0.715,0.328,50940,0.161
2016,SC,7669,970.1,2481,10356,1369,10195,690,167.7,22.3,173.8,12,45.3,0.2,0.731,0.323,54340,0.152
2016,TN,8065,1020.2,3250,14450,1883,15429,1533,179.9,24,198.8,20.1,44.2,0.221,0.716,0.348,51340,0.157
2016,TX,7393,689,9135,40195,5470,43772,2860,148.5,20.3,167.7,11.1,37.8,0.143,0.748,0.337,58150,0.157
2015,AL,7657,1068.3,2282,10354,1255,12981,1097,175.6,21.7,229.7,19.5,41.8,0.214,0.681,0.356,44510,0.189
2015,AR,7620,1061.6,1457,6727,886,7938,700,185.4,24.7,223.2,20,41.5,0.249,0.658,0.345,52250,0.194
2015,FL,8330,945.9,7031,44027,5403,45441,2676,150.6,18.6,149.8,8.9,21.8,0.158,0.738,0.268,48830,0.157
2015,GA,7055,782.6,3714,16945,2210,17769,1467,163,21.4,180.2,15.5,42.4,0.177,0.727,0.307,50770,0.171
2015,LA,8201,936,2018,9397,1199,10665,753,180.2,23.5,212.1,15.3,42.5,0.219,0.681,0.362,45920,0.194
2015,MS,7777,1062.1,1402,6485,1092,7969,791,188.4,32.4,240.5,24,44.1,0.225,0.632,0.356,59200,0.219
2015,NC,7594,887.5,3803,19322,2746,18474,2115,164.7,23.6,162.4,18.7,34.8,0.19,0.738,0.301,52010,0.167
2015,OK,7902,1007.9,1498,8280,1442,10310,717,184.3,32.4,234,16.5,34.7,0.222,0.668,0.339,47080,0.163
2015,SC,7446,964,2453,9950,1347,10092,848,166.6,23.4,177.8,15.3,46.2,0.197,0.733,0.317,46360,0.165
2015,TN,7806,1008.6,3122,14214,1798,15730,1723,180.5,23.4,207.3,23.3,43.4,0.219,0.696,0.338,47330,0.168
2015,TX,7217,690.4,8903,39121,5521,43298,3214,149.2,21.2,171.6,13,38.2,0.152,0.705,0.324,56470,0.158
2014,AL,7277,1035.5,1885,10286,1281,12461,1031,177.6,22.8,224,18.8,35.3,0.211,0.724,0.335,42280,0.195
2014,AR,7284,1027.1,1193,6546,828,7581,710,183.1,24,217.5,20.7,34.8,0.247,0.694,0.359,49250,0.188
2014,FL,7965,934.8,5874,43212,5371,44511,2719,152.9,19.2,151.3,9.6,18.8,0.176,0.763,0.262,46140,0.166
2014,GA,6622,761.5,2670,16684,2230,17107,1510,165.5,22.3,179.7,16.2,31.7,0.174,0.764,0.305,49560,0.186
2014,LA,7855,943.5,1670,9455,1238,10647,854,186.1,24.8,216.3,17.5,36,0.24,0.705,0.349,42410,0.196
2014,MS,7500,1020.6,1098,6534,1015,7538,763,193.1,30.4,229.9,23.5,35.2,0.23,0.684,0.355,56630,0.222
2014,NC,7194,858.5,3246,19342,2687,17592,1874,169.3,23.7,158.7,17.2,30.5,0.191,0.768,0.297,49880,0.174
2014,OK,7658,991.8,1227,7934,1261,9868,723,179.9,29.1,228.1,16.8,28.9,0.211,0.717,0.33,47200,0.165
2014,SC,7210,940.6,1938,9930,1239,9964,751,171.4,21.8,181.1,13.9,37.4,0.215,0.747,0.321,44930,0.181
2014,TN,7418,987.3,2672,14173,1727,15223,1602,184.2,23.2,205.6,22.1,38.1,0.242,0.732,0.312,43720,0.185
2014,TX,6825,682.2,6772,38847,5348,41479,3452,152.9,21.3,169.9,14.2,30,0.145,0.724,0.319,53880,0.172
